A	0	26
B	42	28
C	84	31
D	131	26
E	172	27
F	210	29
G	252	27
H	296	34
I	339	40
J	383	32
K	425	31
L	465	33
M	509	31
N	557	29
O	601	27
P	649	27
Q	693	30
R	739	30
S	781	38
T	817	39
U	866	31
V	912	30
W	960	34
X	1001	33
Y	1041	38
Z	1092	36
alpha	1129	43
bravo	1182	36
charlie	1229	37
delta	1277	36
echo	1320	33
foxtrot	1358	47
golf	1403	34
hotel	1452	45
india	1509	36
juliette	1548	42
kilo	1602	35
lima	1643	34
mike	1684	35
november	1721	40
oscar	1777	34
papa	1823	36
quebec	1867	36
romeo	1912	40
sierra	1955	40
tango	2005	39
uniform	2052	47
victor	2097	37
whiskey	2142	39
X-ray	2193	39
yankee	2241	45
zulu	2288	36
0	2337	34
1	2386	30
2	2436	28
3	2481	29
4	2528	37
5	2575	42
6	2623	35
7	2664	37
8	2715	30
9	2753	41
dot	2807	27
dash	2850	33
stroke	2884	39
